master_id,total_order,total_value,avg_order_value,cltv,cltv_score,cltv_segment
5261c16e-9c93-11ea-a27a-000d3a38a36f,2.0,556.46,278.23,556.46,0.011153045391071809,B
20a9824c-ab17-11e9-a2fc-000d3a38a36f,4.0,631.68,157.92,631.68,0.012793250431965726,B
9c328802-a6ce-11e9-a2fc-000d3a38a36f,3.0,845.77,281.92333333333335,845.77,0.017461576637828248,B
b74c85fa-43a0-11eb-806e-000d3a38a36f,10.0,899.8399999999999,89.984,899.8399999999999,0.01864059666655909,A
72b33428-f9a1-11ea-9564-000d3a38a36f,3.0,689.62,229.87333333333333,689.62,0.014056657505475348,B
f9adaeba-bbb5-11ea-a0c9-000d3a38a36f,5.0,535.3800000000001,107.07600000000002,535.3800000000001,0.01069338675956365,C
8b607a4a-abae-11e9-a2fc-000d3a38a36f,5.0,629.9300000000001,125.98600000000002,629.9300000000001,0.012755090915592897,B
861090c6-a923-11e9-a2fc-000d3a38a36f,2.0,1078.99,539.495,1078.99,0.022547040871240633,A
41272966-a0cc-11e9-a2fc-000d3a38a36f,2.0,479.19,239.595,479.19,0.009468139202426859,C
bd2305fe-6051-11ea-8dd8-000d3a38a36f,2.0,387.86,193.93,387.86,0.007476648556523621,C
fdb7846a-319d-11ea-9c9f-000d3a38a36f,2.0,464.88,232.44,464.88,0.009156103385686737,C
5bc87a7c-9de8-11e9-9897-000d3a38a36f,7.0,797.3199999999999,113.90285714285713,797.3199999999999,0.016405103170249007,B
804e7e88-18fd-11ea-9213-000d3a38a36f,10.0,1508.71,150.871,1508.71,0.031917273657373776,A
215ed4a8-a595-11e9-a2fc-000d3a38a36f,3.0,511.79,170.59666666666666,511.78999999999996,0.010178996478857883,C
36c7a90a-a0f9-11e9-a2fc-000d3a38a36f,6.0,1517.55,252.92499999999998,1517.55,0.03211003372865139,A
63695372-a1c7-11e9-a2fc-000d3a38a36f,4.0,484.37,121.0925,484.37,0.00958109137089044,C
1f65610c-526b-11ea-956d-000d3a38a36f,4.0,889.37,222.3425,889.37,0.018412293731459927,B
c9c3e8aa-9aa8-11ea-9fd8-000d3a38a36f,2.0,232.48,116.24,232.48,0.004088519611374764,D
552c4978-ace8-11e9-a2fc-000d3a38a36f,3.0,565.4399999999999,188.48,565.4399999999999,0.011348858223659249,B
ef770b48-e155-11e9-957d-000d3a38a36f,5.0,394.95,78.99,394.95,0.007631249111428406,C
88667a54-1311-11ea-a001-000d3a38a36f,5.0,600.7,120.14000000000001,600.7,0.01211771796497698,B
c51201f2-1155-11ea-8872-000d3a38a36f,5.0,549.91,109.982,549.91,0.011010219772647782,B
a7ab666a-ae60-11e9-a2fc-000d3a38a36f,3.0,1055.89,351.96333333333337,1055.89,0.022043335255119267,A
b050a646-2254-11ea-8523-000d3a38a36f,5.0,926.85,185.37,926.85,0.019229561544976334,A
7fcbeba8-a8a0-11e9-a2fc-000d3a38a36f,4.0,259.96,64.99,259.96,0.0046877330456178475,D
f318a3de-ad06-11e9-a2fc-000d3a38a36f,2.0,120.72999999999999,60.364999999999995,120.72999999999999,0.0016517619229954044,D
9b6eb67e-75e6-11ea-b23f-000d3a38a36f,3.0,408.45000000000005,136.15,408.45000000000005,0.00792562252344739,C
575164ec-a417-11e9-a2fc-000d3a38a36f,4.0,657.22,164.305,657.22,0.013350161316629788,B
32756a80-b022-11e9-9757-000d3a38a36f,2.0,154.94,77.47,154.94,0.0023977259544894344,D
71976318-2aa0-11eb-b280-000d3a38a36f,3.0,369.94,123.31333333333333,369.94,0.00708589510886583,C
9c6ce7b0-5bee-11ea-bfa9-000d3a38a36f,9.0,899.98,99.99777777777778,899.98,0.01864364942786892,A
16aebb98-d63e-11e9-93bc-000d3a38a36f,3.0,468.96000000000004,156.32000000000002,468.96000000000004,0.009245069572430252,C
1f8c68a2-c565-11ea-9dde-000d3a38a36f,2.0,339.49,169.745,339.49,0.006421919523978569,D
ae557c64-5b29-11ea-b304-000d3a38a36f,3.0,717.9300000000001,239.31000000000003,717.9300000000001,0.014673969453198118,B
b0708360-9768-11ea-a9c8-000d3a38a36f,4.0,528.6300000000001,132.15750000000003,528.6300000000001,0.01054620005355416,C
5952b580-5b3b-11ea-8569-000d3a38a36f,3.0,300.45000000000005,100.15000000000002,300.45000000000005,0.005570635227295525,D
83ae5204-ff19-11e9-a5e8-000d3a38a36f,3.0,420.44,140.14666666666668,420.44000000000005,0.0081870697241961,C
6817921c-a96a-11e9-a2fc-000d3a38a36f,8.0,441.92999999999995,55.241249999999994,441.92999999999995,0.008655668585254465,C
09893098-221e-11ea-8523-000d3a38a36f,4.0,480.96,120.24,480.96,0.009506734827558237,C
37753730-9b69-11ea-a27a-000d3a38a36f,8.0,2147.96,268.495,2147.96,0.0458563998524208,A
6f11ab30-a932-11e9-a2fc-000d3a38a36f,4.0,550.71,137.6775,550.71,0.01102766412298965,B
8d58d24a-a792-11e9-a2fc-000d3a38a36f,2.0,618.6700000000001,309.33500000000004,618.6700000000001,0.012509561684531137,B
8c62a1a0-00c4-11ea-a5e8-000d3a38a36f,3.0,853.8,284.59999999999997,853.8,0.017636674304384724,B
e3506ca0-a218-11e9-a2fc-000d3a38a36f,7.0,953.3100000000001,136.18714285714287,953.3100000000002,0.01980653343253354,A
b6305fbe-5b4f-11ea-bb88-000d3a38a36f,5.0,863.24,172.648,863.24,0.01784251763841874,B
d3fea560-aced-11ea-b736-000d3a38a36f,3.0,326.85,108.95,326.85,0.006146298788577092,D
b5a2eea6-e74e-11e9-8bb8-000d3a38a36f,2.0,564.78,282.39,564.78,0.01133446663462721,B
45efeeb0-5b2a-11ea-bae8-000d3a38a36f,3.0,369.88,123.29333333333334,369.88,0.007084586782590191,C
5bfa131c-ada5-11e9-a2fc-000d3a38a36f,3.0,318.46,106.15333333333332,318.46,0.005963351164366774,D
e637e170-aea0-11e9-a2fc-000d3a38a36f,4.0,305.75,76.4375,305.75,0.005686204048310384,D
90e0b158-2b54-11ea-9d27-000d3a38a36f,8.0,2254.4399999999996,281.80499999999995,2254.4399999999996,0.04817824288292311,A
ecabc266-a7f6-11e9-a2fc-000d3a38a36f,2.0,109.97999999999999,54.989999999999995,109.97999999999999,0.0014173534652765847,D
0117c094-63e8-11ea-a6dc-000d3a38a36f,2.0,339.49,169.745,339.49,0.006421919523978569,D
35f216d0-5bef-11ea-a0d1-000d3a38a36f,3.0,414.31,138.10333333333332,414.30999999999995,0.008053402389701553,C
eb9baf18-a368-11e9-a2fc-000d3a38a36f,2.0,209.98,104.99,209.98,0.003597897258009792,D
0c911658-1ceb-11ea-a490-000d3a38a36f,4.0,762.58,190.645,762.58,0.015647582256653494,B
2b632570-4195-11ea-96d9-000d3a38a36f,3.0,394.94,131.64666666666668,394.94000000000005,0.007631031057049133,C
46097e88-1cb5-11ea-a490-000d3a38a36f,2.0,425.98,212.99,425.98,0.00830787185031352,C
f4f890ba-8627-11ea-be76-000d3a38a36f,4.0,834.96,208.74,834.96,0.017225859853833788,B
c88819fa-d0fb-11ea-8b59-000d3a38a36f,2.0,359.97,179.985,359.97,0.00686849489273033,C
3d707d74-d667-11e9-93bc-000d3a38a36f,5.0,684.94,136.988,684.94,0.013954608055975435,B
b8ddf1a2-5b0b-11ea-bffe-000d3a38a36f,2.0,259.13,129.565,259.13,0.004669634532138162,D
5c116b1a-5341-11ea-acd3-000d3a38a36f,3.0,245.70999999999998,81.90333333333332,245.70999999999998,0.004377005555153366,D
aa572c64-5efa-11ea-be5b-000d3a38a36f,5.0,1111.94,222.388,1111.94,0.023265530050946226,A
5307c13a-f4e7-11e9-9346-000d3a38a36f,2.0,338.99,169.495,338.99,0.006411016805014902,D
a28e246a-5daf-11eb-8dbd-000d3a38a36f,8.0,2037.51,254.68875,2037.51,0.04344798923334697,A
fef57ffa-aae6-11e9-a2fc-000d3a38a36f,37.0,12726.1,343.94864864864866,12726.1,0.27651737500904927,A
de6b47a4-a065-11ea-9d0a-000d3a38a36f,8.0,1302.9,162.8625,1302.9,0.02742949647754956,A
97abdc4a-a5d2-11e9-a2fc-000d3a38a36f,5.0,449.96000000000004,89.992,449.96000000000004,0.008830766251810944,C
9613613c-c9d0-11ea-a31e-000d3a38a36f,2.0,490.97,245.485,490.97,0.009725007261210832,C
c6b217b6-dfcf-11e9-957d-000d3a38a36f,3.0,451.90999999999997,150.63666666666666,451.90999999999997,0.00887328685576924,C
ab52332e-a1af-11e9-a2fc-000d3a38a36f,3.0,290.95,96.98333333333333,290.95,0.00536348356698587,D
267f4a64-5b4b-11ea-a909-000d3a38a36f,2.0,194.98000000000002,97.49000000000001,194.98000000000002,0.0032708156890998113,D
c25f2eea-265d-11ea-b9a0-000d3a38a36f,2.0,300.88,150.44,300.88,0.005580011565604276,D
a076af30-aacd-11e9-a2fc-000d3a38a36f,2.0,439.87,219.935,439.87,0.008610749383124162,C
da229068-653b-11ea-bac7-000d3a38a36f,4.0,531.84,132.96,531.84,0.010616195509300893,C
a9f02aa8-5be6-11ea-8bd2-000d3a38a36f,5.0,590.94,118.18800000000002,590.94,0.011904896890806219,B
75aea3d4-a8fb-11ea-8479-000d3a38a36f,3.0,224.95,74.98333333333333,224.95,0.003924324663781953,D
737ef46a-18eb-11ea-9213-000d3a38a36f,3.0,402.85,134.28333333333333,402.85,0.007803512071054329,C
54df998e-5274-11ea-956d-000d3a38a36f,6.0,647.67,107.945,647.67,0.013141919384423766,B
06ea4252-5b56-11ea-b15d-000d3a38a36f,2.0,273.46999999999997,136.73499999999999,273.46999999999997,0.004982324512016105,D
23c40308-9ea1-11e9-9897-000d3a38a36f,7.0,827.36,118.19428571428571,827.36,0.017060138525586067,B
6e928d60-a3c3-11e9-a2fc-000d3a38a36f,5.0,378.40999999999997,75.68199999999999,378.40999999999997,0.007270587168110333,C
9108204a-1c62-11ea-a490-000d3a38a36f,6.0,1711.8600000000001,285.31,1711.8600000000001,0.036347048372311286,A
